#Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
CC|ARAT|46.789|-121.853|1822.44|Mount Ararat|2020-08-06T00:00:00|2599-12-31T23:59:59
CC|CARB|46.98832|-122.00541|872.47|Carbon Repeater|2018-10-16T00:00:00|2599-12-31T23:59:59
CC|COPP|46.79798|-121.82875|1895.0|COPP|2022-09-20T11:00:00|2599-12-31T23:59:59
CC|CRBN|46.988155|-121.961026|500.08|Carbon River Ranger Station|2020-10-22T00:00:00|2599-12-31T23:59:59
CC|GNOB|46.79414|-121.91438|1659.36|Gobblers Knob Seismic|2022-10-18T13:21:00|2599-12-31T23:59:59
CC|GOBB|46.79414|-121.91438|1659.36|Gobbler's Knob|2022-09-07T00:00:00|2599-12-31T23:59:59
CC|GTWY|46.740208|-121.916966|617.235|Gateway Entrance Station|2020-10-28T20:00:00|2599-12-31T23:59:59
CC|KAUT|46.730263|-121.857381|689.0|Kautz Creek Helibase|2020-09-02T00:00:00|2599-12-31T23:59:59
CC|MILD|46.8081|-121.77568|2015.59|Mildred Point|2022-09-20T00:00:00|2599-12-31T23:59:59
CC|OBSR|46.899719|-121.815331|2382.0|Observation Rock|2008-11-19T00:00:00|2599-12-31T23:59:59
CC|OPCH|46.731288|-121.5713|593.43|Ohanapecosh Administrative Area|2020-10-26T00:00:00|2599-12-31T23:59:59
CC|PANH|46.859032|-121.642592|2086.0|Panhandle Gap|2007-09-10T00:00:00|2599-12-31T23:59:59
CC|PARA|46.786441|-121.742195|1651.18|Paradise Precip Tower|2020-10-07T00:00:00|2599-12-31T23:59:59
CC|PR01|46.910103|-122.037586|648.0|Puyallup River 01|2016-11-03T00:00:00|2599-12-31T23:59:59
CC|PR02|46.918303|-122.048695|461.0|Puyallup River 02|2016-11-17T00:00:00|2599-12-31T23:59:59
CC|PR03|46.903433|-122.032691|523.0|Puyallup River 03|2016-09-15T00:00:00|2599-12-31T23:59:59
CC|PR04|46.929773|-121.988592|908.0|Puyallup River 04|2017-01-01T00:00:00|2599-12-31T23:59:59
CC|PR05|46.841723|-121.948863|1553.0|Puyallup River 05|2017-09-28T00:00:00|2599-12-31T23:59:59
CC|RUSH|46.90305|-121.94419|1235.0|Rushingwater Creek|2019-06-20T00:00:00|2599-12-31T23:59:59
CC|SIFT|46.86683|-121.95329|732.0|Swift Creek|2019-06-20T00:00:00|2599-12-31T23:59:59
CC|SR41|46.88668|-121.536642|1454.0|State Route 410 Landslide|2015-07-09T00:00:00|2018-04-28T00:00:00
CC|STYX|46.963747|-122.080535|568.31|STYX|2022-05-25T00:00:00|2599-12-31T23:59:59
CC|TABR|46.80435|-121.84948|1278.18|Tahoma Bridge|2022-09-26T00:00:00|2599-12-31T23:59:59
CC|TAVI|46.7957|-121.88423|1054.65|Tahoma Vista|2022-09-26T00:00:00|2599-12-31T23:59:59
CC|VOIT|46.96636|-121.98328|977.1|Voight Creek|2019-09-25T00:00:00|2599-12-31T23:59:59
CC|WOW|46.78003|-121.8851|875.45|Mount Wow|2022-09-27T00:00:00|2599-12-31T23:59:59
UW|ASF|46.75988|-122.027771|528.0|Ashford (NEHRP temp), WA, USA|1995-03-20T00:00:00|1995-06-12T23:59:59
UW|DLR|47.10265|-121.568619|1190.0|Dalles Ridge (NEHRP temp), WA|1995-04-07T00:00:00|1995-09-19T23:59:59
UW|FGM|47.07563|-121.76387|1158.0|Frog Mountain (NEHRP temp), WA|1995-05-20T00:00:00|1995-09-19T23:59:59
UW|FMW|46.941914|-121.671463|1900.0|Mt. Fremont, WA, USA|1972-09-01T00:00:00|2599-12-31T23:59:59
UW|GRL|46.81403|-121.328072|1287.0|Granite Lake (NEHRP temp), WA|1995-10-01T00:00:00|1996-07-18T23:59:59
UW|LO2|46.750599|-121.809601|853.0|Longmire short period|1988-03-17T00:00:00|2599-12-31T23:59:59
UW|LON|46.750599|-121.809601|853.0|Longmire CREST broad-band|1964-03-30T00:00:00|2599-12-31T23:59:59
UW|MHL|46.88221|-122.065231|1215.0|Mashel Creek (NEHRP temp), WA|1995-08-02T00:00:00|1995-10-31T23:59:59
UW|RCM|46.83564|-121.73298|3077.0|Camp Muir, Mount Rainier, WA, USA|1993-09-09T00:00:00|2599-12-31T23:59:59
UW|RCS|46.870831|-121.732307|2877.0|Mt. Rainier, Camp Schurman|1989-06-27T00:00:00|2599-12-31T23:59:59
UW|RER|46.81858|-121.8425|1751.1|Emerald Ridge, Mount Rainier, WA, USA|1989-07-13T00:00:00|2599-12-31T23:59:59
UW|RSH|46.812092|-121.529671|1770.0|Mt Rainier (NEHRP temp), WA|1995-06-13T00:00:00|1995-09-20T23:59:59
UW|RSU|46.853161|-121.764259|4440.0|Mt. Rainier Summit, WA, USA|1999-08-20T00:00:00|2001-09-21T00:00:00
UW|RVC|46.94408|-121.97419|1000.0|Mt. Rainier - Voight Creek, WA, USA|1983-01-01T00:00:00|2021-01-10T00:00:00
UW|RVN|47.027222|-121.337837|1885.0|Raven Roost (former NEHRP temp)|1995-09-26T00:00:00|2002-08-15T00:00:00
UW|STAR|46.850849|-121.792953|3365.0|St. Andrews Rock, Mt. Rainier, WA|2008-09-15T00:00:00|2599-12-31T23:59:59
UW|WCR|46.61396|-121.767754|1200.0|Willame Creek (NEHRP temp), WA|1995-06-12T00:00:00|1995-09-22T23:59:59
UW|WI2|47.136108|-121.382309|1528.0|Windy Gap (NEHRP temp), WA|1995-09-24T00:00:00|1996-07-17T23:59:59
UW|WPEQ|46.613279|-121.404485|1807.0|White Pass Ski Facility, WA, USA|2021-04-26T00:00:00|2599-12-31T23:59:59
UW|WPS|46.625|-121.388031|1789.0|White Pass Ski Area (NEHRP temp), WA|1995-06-29T00:00:00|1995-09-29T23:59:59
UW|WPW|46.698639|-121.537338|1280.0|White Pass, WA, USA|1980-03-27T00:00:00|2017-04-19T00:00:00
UW|XTL|46.929779|-121.494476|1665.0|Crystal Mtn. (NEHRP temp), WA|1995-10-11T00:00:00|1997-07-16T23:59:59
