Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],x [m],y [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,Direction []
0,0.0,46.78586,-121.73694,1667,0.00000,0.00000,23.9,0.0,nan,False,-
1,9.6,46.78583,-121.73694,1667,-0.71570,-2.50189,22.6,2.6,nan,False,-
2,19.1,46.78581,-121.73695,1667,-1.43140,-5.00377,21.3,5.2,196,False,SSW
3,28.7,46.78579,-121.73696,1667,-2.14711,-7.50566,20.0,7.8,196,False,SSW
4,38.3,46.78577,-121.73697,1667,-2.86281,-10.00754,20.0,10.4,196,False,SSW
5,47.9,46.78574,-121.73698,1668,-3.57851,-12.50943,20.0,13.0,196,True,SSW
6,57.4,46.78572,-121.73699,1668,-4.29421,-15.01132,20.0,15.6,196,True,SSW
7,67.0,46.78570,-121.73700,1668,-5.00991,-17.51320,20.0,18.2,196,True,SSW
8,76.6,46.78568,-121.73701,1668,-5.72561,-20.01509,20.0,20.8,196,True,SSW
9,86.1,46.78565,-121.73702,1668,-6.44132,-22.51697,20.0,23.4,196,True,SSW
10,95.7,46.78563,-121.73703,1668,-7.15702,-25.01886,20.0,26.0,223,True,SW
11,105.3,46.78564,-121.73718,1668,-18.29861,-23.90691,15.7,37.2,249,True,WSW
12,114.9,46.78565,-121.73732,1667,-29.44020,-22.79496,11.4,48.4,276,True,W
13,124.4,46.78566,-121.73747,1667,-40.58179,-21.68301,12.0,59.6,270,True,W
14,134.0,46.78564,-121.73761,1667,-51.74880,-24.12930,12.1,71.0,264,True,W
15,143.6,46.78562,-121.73776,1667,-62.91580,-26.57559,12.2,82.5,258,True,WSW
16,153.1,46.78560,-121.73791,1667,-74.08280,-29.02188,12.4,93.9,251,True,WSW
17,162.7,46.78556,-121.73800,1666,-80.73230,-33.06196,10.5,101.7,245,True,WSW
18,172.3,46.78552,-121.73808,1666,-87.38179,-37.10204,10.4,109.5,239,True,WSW
19,181.8,46.78549,-121.73817,1665,-94.03129,-41.14212,12.3,117.3,238,True,WSW
20,191.4,46.78545,-121.73825,1665,-100.10724,-45.18962,12.5,124.6,237,True,WSW
21,201.0,46.78541,-121.73833,1664,-106.18319,-49.23711,12.7,131.9,236,True,WSW
22,210.6,46.78538,-121.73841,1664,-112.25915,-53.28461,13.0,139.2,236,True,WSW
23,220.1,46.78534,-121.73849,1663,-118.33510,-57.33210,13.0,146.5,236,True,WSW
24,229.7,46.78530,-121.73857,1663,-124.41105,-61.37960,13.0,153.8,236,True,SW
25,239.3,46.78525,-121.73868,1663,-132.82456,-67.13394,11.5,163.9,236,True,SW
26,248.8,46.78520,-121.73879,1662,-141.23806,-72.88827,10.1,174.1,236,True,SW
27,258.4,46.78515,-121.73890,1662,-149.65157,-78.64261,10.5,184.3,236,True,SW
28,268.0,46.78510,-121.73901,1662,-158.06508,-84.39695,10.5,194.5,234,True,SW
29,277.6,46.78504,-121.73912,1662,-166.17410,-90.67946,10.5,204.8,233,True,SW
30,287.1,46.78498,-121.73922,1662,-174.28313,-96.96198,10.6,215.0,232,True,SW
31,296.7,46.78493,-121.73933,1662,-182.39216,-103.24449,10.6,225.3,232,True,SW
32,306.3,46.78487,-121.73944,1662,-190.50119,-109.52700,10.6,235.6,227,True,SW
33,315.8,46.78481,-121.73951,1660,-195.70431,-116.79174,9.9,244.5,221,True,SW
34,325.4,46.78474,-121.73957,1659,-200.90743,-124.05647,9.9,253.4,216,True,SW
35,335.0,46.78468,-121.73964,1657,-206.11056,-131.32121,10.5,262.4,207,True,SSW
36,344.6,46.78460,-121.73966,1657,-207.40522,-139.32724,10.9,270.5,198,True,SSW
37,354.1,46.78453,-121.73968,1657,-208.69988,-147.33328,11.3,278.6,189,True,S
38,363.7,46.78446,-121.73969,1658,-209.99454,-155.33931,11.8,286.7,189,True,S
39,373.3,46.78439,-121.73971,1658,-211.28920,-163.34535,11.8,294.8,189,True,S
40,382.8,46.78431,-121.73973,1658,-212.58386,-171.35138,11.8,302.9,187,True,S
41,392.4,46.78419,-121.73973,1656,-213.06658,-185.06542,10.2,316.6,184,True,S
42,402.0,46.78407,-121.73974,1655,-213.54929,-198.77946,13.0,330.4,182,True,S
43,411.6,46.78395,-121.73975,1653,-214.03200,-212.49350,15.8,344.1,187,True,S
44,421.1,46.78389,-121.73977,1652,-215.93576,-218.88721,12.3,350.8,192,True,SSW
45,430.7,46.78383,-121.73980,1652,-217.83952,-225.28092,10.4,357.4,197,True,SSW
46,440.3,46.78377,-121.73982,1652,-219.74328,-231.67463,13.9,364.1,197,True,SSW
47,449.8,46.78372,-121.73985,1651,-221.64704,-238.06834,13.9,370.8,205,True,SSW
48,459.4,46.78365,-121.73993,1650,-228.21453,-245.65739,12.2,380.8,213,True,SSW
49,469.0,46.78358,-121.74002,1650,-234.78202,-253.24645,10.6,390.8,221,True,SW
50,478.6,46.78351,-121.74010,1650,-241.34951,-260.83550,10.3,400.9,221,True,SW
51,488.1,46.78344,-121.74019,1649,-247.91701,-268.42455,10.3,410.9,231,True,SW
52,497.7,46.78342,-121.74029,1649,-255.60744,-271.20443,9.8,419.1,240,True,WSW
53,507.3,46.78339,-121.74039,1648,-263.29787,-273.98430,10.7,427.3,250,True,WSW
