Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology
0,0,46.78586,-121.73694,1667,23.9,0,,FALSE,-0.380690836,0.444779706,-,,TRUE,,,Qra
1,9.6,46.78583,-121.73694,1667,22.6,2.6,,FALSE,-0.380691048,-2.891068093,-,SSW,TRUE,,SW,Qra
2,19.1,46.78581,-121.73695,1667,21.3,5.2,196,FALSE,-1.142073566,-5.114966626,SSW,SSW,TRUE,,SW,Qra
3,28.7,46.78579,-121.73696,1667,20,7.8,196,FALSE,-1.903456652,-7.338865159,SSW,SSW,TRUE,,SW,Qra
4,38.3,46.78577,-121.73697,1667,20,10.4,196,FALSE,-2.664840303,-9.562763692,SSW,SSW,TRUE,,SW,Qra
5,47.9,46.78574,-121.73698,1668,20,13,196,TRUE,-3.426225156,-12.89861149,SSW,SSW,TRUE,,SW,Qra
6,57.4,46.78572,-121.73699,1668,20,15.6,196,TRUE,-4.187610081,-15.12251002,SSW,SSW,TRUE,,SW,Qra
7,67,46.7857,-121.737,1668,20,18.2,196,TRUE,-4.948995569,-17.34640856,SSW,SSW,TRUE,,SW,Qra
8,76.6,46.78568,-121.73701,1668,20,20.8,196,TRUE,-5.710381625,-19.57030709,SSW,SSW,TRUE,,SW,Qra
9,86.1,46.78565,-121.73702,1668,20,23.4,196,TRUE,-6.471769449,-22.90615489,SSW,SSW,TRUE,,SW,Qra
10,95.7,46.78563,-121.73703,1668,20,26,223,TRUE,-7.233156777,-25.13005342,SW,W,TRUE,,SW,Qra
11,105.3,46.78564,-121.73718,1668,15.7,37.2,249,TRUE,-18.65392717,-24.01810416,WSW,W,TRUE,,SW,Qra
12,114.9,46.78565,-121.73732,1667,11.4,48.4,276,TRUE,-29.31330868,-22.90615489,W,W,TRUE,,SW,Qra
13,124.4,46.78566,-121.73747,1667,12,59.6,270,TRUE,-40.73407073,-21.79420562,W,W,TRUE,,SW,Qra
14,134,46.78564,-121.73761,1667,12.1,71,264,TRUE,-51.39347282,-24.01810416,W,W,TRUE,,SW,Qra
15,143.6,46.78562,-121.73776,1667,12.2,82.5,258,TRUE,-62.81426789,-26.24200269,WSW,SW,TRUE,,SW,Qra
16,153.1,46.7856,-121.73791,1667,12.4,93.9,251,TRUE,-74.23507145,-28.46590122,WSW,SW,TRUE,,SW,Qra
17,162.7,46.78556,-121.738,1666,10.5,101.7,245,TRUE,-81.08759984,-32.91369829,WSW,SW,TRUE,,SW,Qra
18,172.3,46.78552,-121.73808,1666,10.4,109.5,239,TRUE,-87.17875193,-37.36149535,WSW,SW,TRUE,,SW,Qra
19,181.8,46.78549,-121.73817,1665,12.3,117.3,238,TRUE,-94.03128264,-40.69734315,WSW,SW,TRUE,,SW,Qra
20,191.4,46.78545,-121.73825,1665,12.5,124.6,237,TRUE,-100.1224523,-45.14514022,WSW,SW,TRUE,,SW,Qra
21,201,46.78541,-121.73833,1664,12.7,131.9,236,TRUE,-106.213631,-49.59293728,SW,SW,TRUE,,SW,Qra
22,210.6,46.78538,-121.73841,1664,13,139.2,236,TRUE,-112.3047978,-52.92878508,SW,SW,TRUE,,SW,Qra
23,220.1,46.78534,-121.73849,1663,13,146.5,236,TRUE,-118.3959935,-57.37658215,SW,SW,TRUE,,SW,Qra
24,229.7,46.7853,-121.73857,1663,13,153.8,236,TRUE,-124.4871982,-61.82437921,SW,SW,TRUE,,SW,Qra
