cluster_time,n_detections,lon_mean,lat_mean,templates,matches_catalog,catalog_event_id
2023-08-25 06:01:42,1,-121.95866666666667,46.9705,detections_2023-08-25_07-23-16.240.csv,True,NA
2023-08-25 20:22:09,1,-121.9055,46.864666666666665,detections_2023-08-25_20-22-01.540.csv,True,NA
2023-08-27 05:36:05,40,-121.95744166666665,46.77704166666667,detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_00-51-10.050.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 05:38:17,4,-121.956,46.77558333333333,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv,False,
2023-08-27 05:58:33,40,-121.95734583333333,46.77699166666666,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 06:17:37,8,-121.95702083333333,46.775354166666666,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_21-51-59.670.csv,False,
2023-08-27 06:30:08,33,-121.95695454545454,46.77707070707071,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 06:54:57,36,-121.95754629629629,46.77695833333333,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 09:58:12,38,-121.95740350877195,46.777013157894736,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_10-10-23.770.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
2023-08-27 10:10:26,40,-121.95724166666666,46.77745,detections_2023-08-27_05-36-05.360.csv;detections_2023-08-27_05-58-27.600.csv;detections_2023-08-27_06-30-01.970.csv;detections_2023-08-27_06-54-53.700.csv;detections_2023-08-27_09-58-08.540.csv;detections_2023-08-27_10-26-15.050.csv;detections_2023-08-27_10-33-48.930.csv;detections_2023-08-27_10-36-46.980.csv;detections_2023-08-27_10-57-37.070.csv;detections_2023-08-27_11-16-32.730.csv;detections_2023-08-27_11-35-13.520.csv;detections_2023-08-27_11-37-37.230.csv;detections_2023-08-27_11-37-59.620.csv;detections_2023-08-27_11-46-16.910.csv;detections_2023-08-27_11-55-15.880.csv;detections_2023-08-27_12-36-58.390.csv;detections_2023-08-27_12-41-20.950.csv;detections_2023-08-27_12-50-23.490.csv;detections_2023-08-27_13-26-03.210.csv;detections_2023-08-27_14-02-20.400.csv;detections_2023-08-27_20-07-47.140.csv;detections_2023-08-28_01-25-08.290.csv;detections_2023-08-28_01-58-56.490.csv;detections_2023-08-28_02-44-56.290.csv;detections_2023-08-28_04-28-20.740.csv;detections_2023-08-28_08-14-42.960.csv;detections_2023-08-28_10-25-21.180.csv;detections_2023-08-28_12-58-31.740.csv;detections_2023-08-28_18-47-59.200.csv;detections_2023-08-28_21-51-59.670.csv;detections_2023-08-28_22-11-03.590.csv;detections_2023-08-29_03-07-57.930.csv;detections_2023-08-29_05-25-49.600.csv;detections_2023-08-29_05-49-48.530.csv;detections_2023-08-29_07-44-59.430.csv;detections_2023-08-29_10-21-44.840.csv;detections_2023-08-30_00-51-10.050.csv;detections_2023-08-30_05-59-49.670.csv;detections_2023-08-30_06-13-26.140.csv;detections_2023-08-30_15-58-06.050.csv,True,NA
