Channel,Optical Distance [m],Latitude [°],Longitude [°],Elevation [m],Uncertainty [m],Distance along road [m],Azimuth [°],Pick,x,y,Direction,Direction_manual,Curve,Notice,Direction_manual_simplified,Lithology,slope_deg
0,0.0,46.78586,-121.73694,1667.0,23.9,0.0,,False,-0.380690836,0.444779706,-,,True,,,Qra,0.1481839269399643
1,9.6,46.78583,-121.73694,1667.0,22.6,2.6,,False,-0.380691048,-2.891068093,-,SSW,True,,SW,Qra,1.271788477897644
2,19.1,46.78581,-121.73695,1667.0,21.3,5.2,196.0,False,-1.142073566,-5.114966626,SSW,SSW,True,,SW,Qra,2.346968650817871
3,28.7,46.78579,-121.73696,1667.0,20.0,7.8,196.0,False,-1.903456652,-7.338865159,SSW,SSW,True,,SW,Qra,0.8244051337242126
4,38.3,46.78577,-121.73697,1667.0,20.0,10.4,196.0,False,-2.664840303,-9.562763692,SSW,SSW,True,,SW,Qra,0.14057965576648712
5,47.9,46.78574,-121.73698,1668.0,20.0,13.0,196.0,True,-3.426225156,-12.89861149,SSW,SSW,True,,SW,Qra,0.753663957118988
6,57.4,46.78572,-121.73699,1668.0,20.0,15.6,196.0,True,-4.187610081,-15.12251002,SSW,SSW,True,,SW,Qra,4.722876071929932
7,67.0,46.7857,-121.737,1668.0,20.0,18.2,196.0,True,-4.948995569,-17.34640856,SSW,SSW,True,,SW,Qra,10.152474403381348
8,76.6,46.78568,-121.73701,1668.0,20.0,20.8,196.0,True,-5.710381625,-19.57030709,SSW,SSW,True,,SW,Qra,13.968106269836426
9,86.1,46.78565,-121.73702,1668.0,20.0,23.4,196.0,True,-6.471769449,-22.90615489,SSW,SSW,True,,SW,Qra,0.9237196445465088
10,95.7,46.78563,-121.73703,1668.0,20.0,26.0,223.0,True,-7.233156777,-25.13005342,SW,W,True,,SW,Qra,1.1735881567001343
11,105.3,46.78564,-121.73718,1668.0,15.7,37.2,249.0,True,-18.65392717,-24.01810416,WSW,W,True,,SW,Qra,3.385227680206299
12,114.9,46.78565,-121.73732,1667.0,11.4,48.4,276.0,True,-29.31330868,-22.90615489,W,W,True,,SW,Qra,3.2841343879699707
13,124.4,46.78566,-121.73747,1667.0,12.0,59.6,270.0,True,-40.73407073,-21.79420562,W,W,True,,SW,Qra,3.0799806118011475
14,134.0,46.78564,-121.73761,1667.0,12.1,71.0,264.0,True,-51.39347282,-24.01810416,W,W,True,,SW,Qra,2.121648073196411
15,143.6,46.78562,-121.73776,1667.0,12.2,82.5,258.0,True,-62.81426789,-26.24200269,WSW,SW,True,,SW,Qra,2.0943195819854736
16,153.1,46.7856,-121.73791,1667.0,12.4,93.9,251.0,True,-74.23507145,-28.46590122,WSW,SW,True,,SW,Qra,1.727693796157837
17,162.7,46.78556,-121.738,1666.0,10.5,101.7,245.0,True,-81.08759984,-32.91369829,WSW,SW,True,,SW,Qra,1.3958861827850342
18,172.3,46.78552,-121.73808,1666.0,10.4,109.5,239.0,True,-87.17875193,-37.36149535,WSW,SW,True,,SW,Qra,2.2264840602874756
19,181.8,46.78549,-121.73817,1665.0,12.3,117.3,238.0,True,-94.03128264,-40.69734315,WSW,SW,True,,SW,Qra,1.7828240394592285
20,191.4,46.78545,-121.73825,1665.0,12.5,124.6,237.0,True,-100.1224523,-45.14514022,WSW,SW,True,,SW,Qra,2.5903031826019287
21,201.0,46.78541,-121.73833,1664.0,12.7,131.9,236.0,True,-106.213631,-49.59293728,SW,SW,True,,SW,Qra,3.211400032043457
22,210.6,46.78538,-121.73841,1664.0,13.0,139.2,236.0,True,-112.3047978,-52.92878508,SW,SW,True,,SW,Qra,2.516580820083618
23,220.1,46.78534,-121.73849,1663.0,13.0,146.5,236.0,True,-118.3959935,-57.37658215,SW,SW,True,,SW,Qra,1.420499324798584
24,229.7,46.7853,-121.73857,1663.0,13.0,153.8,236.0,True,-124.4871982,-61.82437921,SW,SW,True,,SW,Qra,2.344550371170044
25,239.3,46.78525,-121.73868,1663.0,11.5,163.9,236.0,True,-132.8626071,-67.38412555,SW,SW,True,,SW,Qra,2.6242973804473877
26,248.8,46.7852,-121.73879,1662.0,10.1,174.1,236.0,True,-141.2380315,-72.94387188,SW,SW,True,,SW,Qra,2.0400819778442383
27,258.4,46.78515,-121.7389,1662.0,10.5,184.3,236.0,True,-149.6134716,-78.50361821,SW,SW,True,,SW,Qra,2.448007106781006
28,268.0,46.7851,-121.73901,1662.0,10.5,194.5,234.0,True,-157.9889271,-84.06336454,SW,SW,True,,SW,Qra,2.7683212757110596
29,277.6,46.78504,-121.73912,1662.0,10.5,204.8,233.0,True,-166.3644292,-90.73506014,SW,SW,True,,SW,Qra,2.107567548751831
30,287.1,46.78498,-121.73922,1662.0,10.6,215.0,232.0,True,-173.9785558,-97.40675574,SW,SW,True,,SW,Qra,2.291088342666626
31,296.7,46.78493,-121.73933,1662.0,10.6,225.3,232.0,True,-182.3540604,-102.9665021,SW,SW,True,,SW,Qra,2.6419010162353516
32,306.3,46.78487,-121.73944,1662.0,10.6,235.6,227.0,True,-190.7296161,-109.6381977,SW,SW,True,,SW,Qra,3.842067003250122
33,315.8,46.78481,-121.73951,1660.0,9.9,244.5,221.0,True,-196.0596043,-116.3098933,SW,SW,True,,SW,Qra,3.663404703140259
