matched_file,longitude,latitude,distance_km,magnitude,depth,original_date,DAS_visibility
decimator_2023-08-25_01.32.00_UTC.h5,-122.1946667,46.19166667,64.57555507,0.31,2.55,2023-08-25 1:32:17,n
decimator_2023-08-25_06.01.00_UTC.h5,-121.966,46.97016667,25.37035643,1.47,14.88,2023-08-25 6:01:39,y
decimator_2023-08-25_07.23.00_UTC.h5,-121.9586667,46.9705,25.10511408,1.43,14.64,2023-08-25 7:23:16,y
decimator_2023-08-25_08.44.00_UTC.h5,-122.2001667,46.19583333,64.28278703,0.88,3.37,2023-08-25 8:44:55,n
decimator_2023-08-25_17.34.00_UTC.h5,-122.1888333,46.198,63.76200962,0.06,0.7,2023-08-25 17:34:27,n
decimator_2023-08-25_18.01.00_UTC.h5,-122.1963333,46.196,64.16493386,0.22,5.8,2023-08-25 18:01:41,n
decimator_2023-08-25_20.03.00_UTC.h5,-122.191,46.199,63.71269395,0.19,5.32,2023-08-25 20:03:55,n
decimator_2023-08-25_20.22.00_UTC.h5,-121.9055,46.86466667,13.21191166,0.38,9.72,2023-08-25 20:22:02,y
decimator_2023-08-25_21.26.00_UTC.h5,-122.1998333,46.196,64.25659365,-0.23,2.53,2023-08-25 21:26:44,n
decimator_2023-08-26_02.26.00_UTC.h5,-122.0728333,46.23633333,57.20622937,0.09,6.29,2023-08-26 2:26:54,n
decimator_2023-08-26_02.30.00_UTC.h5,-122.1615,46.18883333,64.0677203,0.14,3.71,2023-08-26 2:30:18,n
decimator_2023-08-26_05.16.00_UTC.h5,-122.2283333,46.19516667,65.12533633,0.19,1.54,2023-08-26 5:16:13,n
decimator_2023-08-26_06.35.00_UTC.h5,-122.1886667,46.1965,63.91514744,-0.46,3.32,2023-08-26 6:35:35,n
decimator_2023-08-26_07.06.00_UTC.h5,-121.7835,46.85633333,8.324010958,0.45,-2.74,2023-08-26 7:06:49,y
decimator_2023-08-26_07.18.00_UTC.h5,-121.7048333,46.84516667,7.032635244,0.19,-1.57,2023-08-26 7:18:20,y
decimator_2023-08-27_01.12.00_UTC.h5,-121.7728333,46.84783333,7.27572192,0.44,-2.62,2023-08-27 1:12:13,n
decimator_2023-08-27_05.36.00_UTC.h5,-121.949,46.78416667,5.452296053,2.07,10.65,2023-08-27 5:36:05,y
decimator_2023-08-27_05.58.00_UTC.h5,-121.953,46.776,4.842049798,1.06,9.96,2023-08-27 5:58:28,y
decimator_2023-08-27_06.30.00_UTC.h5,-121.9576667,46.793,6.630227503,0.34,10.77,2023-08-27 6:30:02,y
decimator_2023-08-27_06.54.00_UTC.h5,-121.9495,46.774,4.506072258,0.42,8.93,2023-08-27 6:54:54,y
decimator_2023-08-27_08.07.00_UTC.h5,-122.1981667,46.20033333,63.75995372,0.01,4.73,2023-08-27 8:07:31,n
decimator_2023-08-27_08.07.00_UTC.h5,-122.1995,46.1955,64.30007472,0.63,4.93,2023-08-27 8:07:42,n
decimator_2023-08-27_09.58.00_UTC.h5,-121.9528333,46.7755,4.789711649,0.95,9.69,2023-08-27 9:58:09,y
decimator_2023-08-27_10.10.00_UTC.h5,-121.957,46.76783333,4.358766237,2.86,9.67,2023-08-27 10:10:24,y
decimator_2023-08-27_10.26.00_UTC.h5,-121.953,46.77966667,5.176963468,0.59,9.27,2023-08-27 10:26:15,y
decimator_2023-08-27_10.33.00_UTC.h5,-121.9621667,46.77333333,5.068233204,1.03,9.4,2023-08-27 10:33:49,y
decimator_2023-08-27_10.36.00_UTC.h5,-121.9563333,46.77866667,5.231293266,0.38,9.78,2023-08-27 10:36:47,y
decimator_2023-08-27_10.57.00_UTC.h5,-121.964,46.7705,4.9518263,1.11,9.42,2023-08-27 10:57:37,y
decimator_2023-08-27_11.16.00_UTC.h5,-121.9601667,46.77366667,4.989706131,1.83,9.05,2023-08-27 11:16:33,y
decimator_2023-08-27_11.26.00_UTC.h5,-122.1956667,46.19883333,63.8511331,0.38,3.02,2023-08-27 11:26:31,n
decimator_2023-08-27_11.35.00_UTC.h5,-121.9578333,46.77666667,5.12519888,1.48,9.07,2023-08-27 11:35:14,y
decimator_2023-08-27_11.37.00_UTC.h5,-121.9486667,46.78216667,5.244486574,0.52,9.06,2023-08-27 11:37:37,y
