"pos","lat","lon","alt","time","speed","bearing","acc","heartRate","cadence","temperature","strides","speed_sensor","custom_coords"
"1","46.759724","-122.039863","528","2023-11-24T09:21:29.399-0800","0.00","62","5.68","","","","","",""
"2","46.759868","-122.039580","529","2023-11-24T09:21:38.400-0800","8.37","65","3.90","","","","","",""
"3","46.759911","-122.039288","530","2023-11-24T09:21:40.400-0800","13.29","79","3.90","","","","","",""
"4","46.759948","-122.038920","530","2023-11-24T09:21:42.400-0800","14.70","81","3.90","","","","","",""
"5","46.759978","-122.038514","530","2023-11-24T09:21:44.400-0800","15.77","84","3.90","","","","","",""
"6","46.760000","-122.038083","531","2023-11-24T09:21:46.400-0800","17.14","86","3.90","","","","","",""
"7","46.759996","-122.037390","533","2023-11-24T09:21:49.400-0800","17.92","92","3.90","","","","","",""
"8","46.759955","-122.036666","533","2023-11-24T09:21:52.400-0800","18.53","96","3.88","","","","","",""
"9","46.759875","-122.035945","535","2023-11-24T09:21:55.399-0800","18.60","101","3.88","","","","","",""
"10","46.759796","-122.035475","536","2023-11-24T09:21:57.400-0800","18.76","104","3.90","","","","","",""
"11","46.759696","-122.034998","536","2023-11-24T09:21:59.400-0800","19.03","107","3.90","","","","","",""
"12","46.759528","-122.034280","536","2023-11-24T09:22:02.399-0800","19.52","108","3.90","","","","","",""
"13","46.759408","-122.033796","536","2023-11-24T09:22:04.400-0800","19.69","110","3.90","","","","","",""
"14","46.759228","-122.033061","537","2023-11-24T09:22:07.400-0800","20.13","109","3.90","","","","","",""
"15","46.759044","-122.032312","538","2023-11-24T09:22:10.399-0800","20.39","109","3.90","","","","","",""
"16","46.758920","-122.031814","540","2023-11-24T09:22:12.399-0800","19.84","109","3.90","","","","","",""
"17","46.758799","-122.031341","541","2023-11-24T09:22:14.400-0800","19.40","110","3.90","","","","","",""
"18","46.758622","-122.030623","543","2023-11-24T09:22:17.399-0800","19.41","109","3.88","","","","","",""
"19","46.758502","-122.030138","543","2023-11-24T09:22:19.400-0800","19.63","109","3.88","","","","","",""
"20","46.758320","-122.029413","542","2023-11-24T09:22:22.399-0800","19.86","109","3.90","","","","","",""
"21","46.758199","-122.028915","543","2023-11-24T09:22:24.399-0800","20.19","109","3.90","","","","","",""
"22","46.758074","-122.028404","543","2023-11-24T09:22:26.400-0800","21.11","109","3.90","","","","","",""
"23","46.757871","-122.027597","541","2023-11-24T09:22:29.399-0800","22.81","110","3.90","","","","","",""
"24","46.757727","-122.027018","539","2023-11-24T09:22:31.399-0800","23.84","110","3.90","","","","","",""
"25","46.757579","-122.026423","538","2023-11-24T09:22:33.399-0800","24.54","109","3.88","","","","","",""
"26","46.757428","-122.025808","537","2023-11-24T09:22:35.400-0800","24.63","109","3.88","","","","","",""
"27","46.757209","-122.024913","538","2023-11-24T09:22:38.400-0800","24.53","109","3.90","","","","","",""
"28","46.757074","-122.024282","538","2023-11-24T09:22:40.400-0800","25.24","105","3.90","","","","","",""
"29","46.756950","-122.023294","538","2023-11-24T09:22:43.399-0800","25.38","98","3.90","","","","","",""
"30","46.756920","-122.022642","538","2023-11-24T09:22:45.400-0800","24.75","93","3.90","","","","","",""
"31","46.756915","-122.021993","539","2023-11-24T09:22:47.400-0800","24.93","90","3.90","","","","","",""
"32","46.756914","-122.021002","539","2023-11-24T09:22:50.400-0800","25.19","89","3.90","","","","","",""
"33","46.756918","-122.020018","541","2023-11-24T09:22:53.399-0800","25.31","90","3.90","","","","","",""
"34","46.756916","-122.019347","542","2023-11-24T09:22:55.400-0800","25.56","89","3.90","","","","","",""
"35","46.756920","-122.018336","543","2023-11-24T09:22:58.398-0800","25.80","89","3.90","","","","","",""
"36","46.756919","-122.017660","544","2023-11-24T09:23:00.400-0800","25.73","89","3.89","","","","","",""
"37","46.756922","-122.016994","546","2023-11-24T09:23:02.400-0800","25.74","89","3.87","","","","","",""
"38","46.756924","-122.015967","548","2023-11-24T09:23:05.398-0800","26.52","89","3.87","","","","","",""
"39","46.756925","-122.015254","548","2023-11-24T09:23:07.399-0800","27.09","90","3.88","","","","","",""
"40","46.756926","-122.014182","548","2023-11-24T09:23:10.398-0800","27.82","89","3.90","","","","","",""
"41","46.756928","-122.013443","549","2023-11-24T09:23:12.398-0800","27.91","89","3.90","","","","","",""
"42","46.756931","-122.012712","548","2023-11-24T09:23:14.398-0800","27.92","89","3.90","","","","","",""
"43","46.756933","-122.011978","547","2023-11-24T09:23:16.398-0800","27.99","89","3.90","","","","","",""
"44","46.756932","-122.011251","546","2023-11-24T09:23:18.399-0800","28.17","90","3.90","","","","","",""
"45","46.756929","-122.010139","544","2023-11-24T09:23:21.398-0800","28.34","90","3.90","","","","","",""
"46","46.756930","-122.009386","543","2023-11-24T09:23:23.398-0800","28.59","89","3.90","","","","","",""
"47","46.756931","-122.008638","542","2023-11-24T09:23:25.399-0800","28.88","89","3.90","","","","","",""
"48","46.756931","-122.007494","541","2023-11-24T09:23:28.398-0800","28.86","90","3.90","","","","","",""
"49","46.756927","-122.006744","541","2023-11-24T09:23:30.399-0800","28.56","90","3.90","","","","","",""
"50","46.756932","-122.005629","541","2023-11-24T09:23:33.398-0800","28.28","90","3.90","","","","","",""
"51","46.756932","-122.004898","541","2023-11-24T09:23:35.398-0800","27.40","89","3.90","","","","","",""
"52","46.756937","-122.004189","541","2023-11-24T09:23:37.398-0800","26.72","89","3.90","","","","","",""
"53","46.756941","-122.003494","542","2023-11-24T09:23:39.398-0800","26.44","89","3.90","","","","","",""
"54","46.756940","-122.002812","542","2023-11-24T09:23:41.399-0800","26.31","89","3.90","","","","","",""
"55","46.756948","-122.002118","541","2023-11-24T09:23:43.399-0800","26.38","89","3.90","","","","","",""
"56","46.756966","-122.001079","540","2023-11-24T09:23:46.399-0800","26.30","88","4.91","","","","","",""
"57","46.756981","-122.000390","539","2023-11-24T09:23:48.399-0800","25.98","88","6.93","","","","","",""
"58","46.757000","-121.999388","540","2023-11-24T09:23:51.397-0800","25.40","88","9.95","","","","","",""
"59","46.757013","-121.998732","540","2023-11-24T09:23:53.398-0800","25.12","88","9.95","","","","","",""
"60","46.757026","-121.998071","540","2023-11-24T09:23:55.398-0800","25.17","86","9.96","","","","","",""
"61","46.757041","-121.997419","541","2023-11-24T09:23:57.398-0800","25.01","88","9.96","","","","","",""
"62","46.757052","-121.996765","541","2023-11-24T09:23:59.398-0800","24.83","88","9.96","","","","","",""
"63","46.757065","-121.996123","542","2023-11-24T09:24:01.398-0800","24.23","88","9.96","","","","","",""
"64","46.757079","-121.995502","543","2023-11-24T09:24:03.399-0800","23.04","88","9.96","","","","","",""
"65","46.757098","-121.994623","544","2023-11-24T09:24:06.398-0800","22.46","88","9.96","","","","","",""
"66","46.757108","-121.994031","546","2023-11-24T09:24:08.398-0800","22.57","88","9.96","","","","","",""
"67","46.757117","-121.993436","547","2023-11-24T09:24:10.398-0800","22.85","88","9.96","","","","","",""
"68","46.757135","-121.992537","549","2023-11-24T09:24:13.398-0800","22.93","88","9.96","","","","","",""
"69","46.757149","-121.991936","550","2023-11-24T09:24:15.399-0800","22.82","88","9.96","","","","","",""
"70","46.757162","-121.991048","553","2023-11-24T09:24:18.398-0800","22.40","88","9.96","","","","","",""
"71","46.757173","-121.990467","554","2023-11-24T09:24:20.399-0800","21.90","88","9.96","","","","","",""
"72","46.757197","-121.989618","556","2023-11-24T09:24:23.397-0800","21.66","88","9.96","","","","","",""
"73","46.757206","-121.989056","557","2023-11-24T09:24:25.398-0800","21.51","88","9.96","","","","","",""
"74","46.757216","-121.988492","558","2023-11-24T09:24:27.398-0800","21.56","88","9.97","","","","","",""
"75","46.757225","-121.987930","559","2023-11-24T09:24:29.398-0800","21.51","89","9.96","","","","","",""
"76","46.757239","-121.987082","560","2023-11-24T09:24:32.399-0800","21.60","88","9.96","","","","","",""
"77","46.757256","-121.986232","563","2023-11-24T09:24:35.398-0800","21.85","88","9.97","","","","","",""
"78","46.757267","-121.985654","564","2023-11-24T09:24:37.399-0800","22.22","88","9.97","","","","","",""
"79","46.757279","-121.984761","564","2023-11-24T09:24:40.398-0800","23.17","89","9.96","","","","","",""
"80","46.757276","-121.983834","564","2023-11-24T09:24:43.397-0800","23.57","90","9.96","","","","","",""
"81","46.757273","-121.983220","564","2023-11-24T09:24:45.399-0800","23.45","90","9.96","","","","","",""
"82","46.757269","-121.982612","562","2023-11-24T09:24:47.399-0800","22.77","90","9.96","","","","","",""
"83","46.757267","-121.981735","562","2023-11-24T09:24:50.398-0800","22.31","90","9.96","","","","","",""
"84","46.757264","-121.981152","563","2023-11-24T09:24:52.398-0800","21.97","90","9.96","","","","","",""
"85","46.757262","-121.980587","563","2023-11-24T09:24:54.398-0800","21.71","90","9.97","","","","","",""
"86","46.757265","-121.979729","563","2023-11-24T09:24:57.398-0800","21.82","89","9.97","","","","","",""
"87","46.757266","-121.979155","563","2023-11-24T09:24:59.399-0800","21.88","90","9.98","","","","","",""
"88","46.757262","-121.978298","563","2023-11-24T09:25:02.399-0800","22.13","89","9.99","","","","","",""
"89","46.757261","-121.977433","563","2023-11-24T09:25:05.398-0800","21.59","90","9.98","","","","","",""
"90","46.757260","-121.976874","562","2023-11-24T09:25:07.399-0800","21.11","90","9.98","","","","","",""
"91","46.757250","-121.976044","561","2023-11-24T09:25:10.399-0800","22.03","93","10.09","","","","","",""
"92","46.757190","-121.975475","561","2023-11-24T09:25:12.399-0800","21.55","102","10.29","","","","","",""
"93","46.757004","-121.974704","562","2023-11-24T09:25:15.398-0800","20.68","110","10.50","","","","","",""
"94","46.756840","-121.974219","562","2023-11-24T09:25:17.398-0800","20.97","118","10.53","","","","","",""
"95","46.756635","-121.973763","562","2023-11-24T09:25:19.399-0800","20.33","124","10.42","","","","","",""
"96","46.756427","-121.973326","563","2023-11-24T09:25:21.399-0800","20.11","123","10.37","","","","","",""
"97","46.756131","-121.972644","563","2023-11-24T09:25:24.397-0800","20.50","121","10.43","","","","","",""
"98","46.755958","-121.972173","563","2023-11-24T09:25:26.399-0800","20.49","117","10.50","","","","","",""
"99","46.755820","-121.971665","564","2023-11-24T09:25:28.399-0800","20.80","109","10.55","","","","","",""
"100","46.755669","-121.970857","564","2023-11-24T09:25:31.398-0800","21.41","101","10.52","","","","","",""
"101","46.755630","-121.970299","564","2023-11-24T09:25:33.399-0800","21.22","93","10.48","","","","","",""
"102","46.755705","-121.969475","563","2023-11-24T09:25:36.399-0800","20.56","80","10.18","","","","","",""
"103","46.755803","-121.968700","563","2023-11-24T09:25:39.398-0800","19.44","82","9.99","","","","","",""
"104","46.755823","-121.968203","563","2023-11-24T09:25:41.398-0800","19.16","90","10.02","","","","","",""
"105","46.755785","-121.967700","563","2023-11-24T09:25:43.399-0800","19.54","99","10.26","","","","","",""
"106","46.755651","-121.966941","564","2023-11-24T09:25:46.398-0800","20.52","105","10.43","","","","","",""
"107","46.755539","-121.966412","565","2023-11-24T09:25:48.399-0800","21.23","107","10.22","","","","","",""
"108","46.755368","-121.965614","566","2023-11-24T09:25:51.397-0800","20.90","106","10.13","","","","","",""
"109","46.755269","-121.965096","566","2023-11-24T09:25:53.398-0800","20.40","105","10.18","","","","","",""
"110","46.755182","-121.964576","566","2023-11-24T09:25:55.399-0800","20.44","102","10.28","","","","","",""
"111","46.755125","-121.964050","566","2023-11-24T09:25:57.399-0800","20.44","98","10.42","","","","","",""
"112","46.755096","-121.963259","566","2023-11-24T09:26:00.398-0800","19.64","91","10.55","","","","","",""
"113","46.755108","-121.962752","566","2023-11-24T09:26:02.398-0800","19.37","88","10.46","","","","","",""
"114","46.755137","-121.962241","566","2023-11-24T09:26:04.399-0800","19.76","84","10.39","","","","","",""
"115","46.755199","-121.961456","567","2023-11-24T09:26:07.397-0800","20.42","83","10.28","","","","","",""
"116","46.755255","-121.960932","568","2023-11-24T09:26:09.397-0800","20.18","77","10.17","","","","","",""
"117","46.755363","-121.960424","568","2023-11-24T09:26:11.399-0800","20.31","71","10.09","","","","","",""
"118","46.755549","-121.959674","568","2023-11-24T09:26:14.399-0800","20.57","71","10.28","","","","","",""
"119","46.755711","-121.958886","569","2023-11-24T09:26:17.399-0800","21.22","76","10.45","","","","","",""
"120","46.755765","-121.958032","569","2023-11-24T09:26:20.398-0800","21.86","89","10.60","","","","","",""
"121","46.755737","-121.957457","569","2023-11-24T09:26:22.399-0800","22.06","95","10.44","","","","","",""
"122","46.755671","-121.956593","569","2023-11-24T09:26:25.399-0800","21.93","95","10.12","","","","","",""
"123","46.755632","-121.956022","570","2023-11-24T09:26:27.399-0800","21.81","95","10.22","","","","","",""
"124","46.755596","-121.955459","571","2023-11-24T09:26:29.399-0800","21.68","95","10.29","","","","","",""
"125","46.755540","-121.954608","571","2023-11-24T09:26:32.398-0800","21.81","95","10.15","","","","","",""
"126","46.755505","-121.954038","572","2023-11-24T09:26:34.398-0800","21.95","95","10.01","","","","","",""
"127","46.755444","-121.953188","573","2023-11-24T09:26:37.399-0800","21.71","95","9.98","","","","","",""
"128","46.755427","-121.952621","573","2023-11-24T09:26:39.399-0800","21.60","90","9.98","","","","","",""
"129","46.755459","-121.951778","573","2023-11-24T09:26:42.398-0800","21.48","88","9.98","","","","","",""
"130","46.755465","-121.951212","573","2023-11-24T09:26:44.398-0800","21.59","90","9.97","","","","","",""
"131","46.755457","-121.950648","573","2023-11-24T09:26:46.399-0800","21.88","91","10.00","","","","","",""
"132","46.755406","-121.949784","574","2023-11-24T09:26:49.398-0800","22.16","96","10.19","","","","","",""
"133","46.755349","-121.949203","576","2023-11-24T09:26:51.398-0800","22.31","99","10.27","","","","","",""
"134","46.755226","-121.948356","577","2023-11-24T09:26:54.398-0800","21.90","103","10.31","","","","","",""
"135","46.755117","-121.947804","577","2023-11-24T09:26:56.398-0800","21.72","106","10.23","","","","","",""
"136","46.754986","-121.947266","578","2023-11-24T09:26:58.398-0800","21.81","109","10.02","","","","","",""
"137","46.754841","-121.946732","578","2023-11-24T09:27:00.398-0800","21.85","111","9.97","","","","","",""
"138","46.754682","-121.946212","578","2023-11-24T09:27:02.398-0800","21.99","113","9.99","","","","","",""
"139","46.754509","-121.945682","579","2023-11-24T09:27:04.398-0800","22.51","116","10.02","","","","","",""
"140","46.754310","-121.945162","579","2023-11-24T09:27:06.398-0800","22.85","120","10.06","","","","","",""
"141","46.754080","-121.944660","580","2023-11-24T09:27:08.398-0800","22.76","125","10.08","","","","","",""
"142","46.753822","-121.944199","580","2023-11-24T09:27:10.398-0800","22.78","129","10.07","","","","","",""
"143","46.753396","-121.943566","581","2023-11-24T09:27:13.398-0800","22.16","136","8.89","","","","","",""
"144","46.753102","-121.943174","583","2023-11-24T09:27:15.399-0800","21.60","137","6.54","","","","","",""
"145","46.752684","-121.942632","585","2023-11-24T09:27:18.398-0800","20.46","137","4.14","","","","","",""
"146","46.752413","-121.942274","586","2023-11-24T09:27:20.398-0800","19.79","137","4.08","","","","","",""
"147","46.752158","-121.941921","586","2023-11-24T09:27:22.399-0800","19.69","136","4.01","","","","","",""
"148","46.751916","-121.941530","586","2023-11-24T09:27:24.399-0800","20.47","129","4.00","","","","","",""
"149","46.751604","-121.940839","585","2023-11-24T09:27:27.397-0800","21.63","120","3.99","","","","","",""
