Evid,Magnitude,Magnitude Type,Epoch(UTC),Time UTC,Time Local,Distance From,Lat,Lon,Depth Km,Depth Mi
62005917,1.0,l,1718078745.04,2024/06/11 04:05:45,2024/06/10 21:05:45 PDT,"1.9 km from Mt Rainier, WA",46.8385,-121.7720,-1.7,-1.0
62005912,1.4,l,1718077304.62,2024/06/11 03:41:44,2024/06/10 20:41:44 PDT,"13.5 km from Mt Rainier, WA",46.8593,-121.9368,6.5,4.1
62005692,1.5,l,1718017881.58,2024/06/10 11:11:21,2024/06/10 04:11:21 PDT,"14.7 km from Mt Rainier, WA",46.9345,-121.9127,9.4,5.8
62005672,0.2,l,1717999064.72,2024/06/10 05:57:44,2024/06/09 22:57:44 PDT,"8.6 km from Mt Rainier, WA",46.8125,-121.8565,3.1,1.9
62005642,0.8,l,1717980213.81,2024/06/10 00:43:33,2024/06/09 17:43:33 PDT,"24.3 km from Mt Rainier, WA",46.6428,-121.8440,5.0,3.1
62005487,0.3,l,1717927141.09,2024/06/09 09:59:01,2024/06/09 02:59:01 PDT,"17.4 km from Mt Rainier, WA",46.9288,-121.9605,12.5,7.8
62005117,1.8,l,1717826626.84,2024/06/08 06:03:46,2024/06/07 23:03:46 PDT,"16.7 km from Mt Rainier, WA",46.978,-121.8828,11.1,6.9
62012166,0.4,l,1717485640.89,2024/06/04 07:20:40,2024/06/04 00:20:40 PDT,"1.6 km from Mt Rainier, WA",46.8402,-121.7685,0.2,0.1
62011641,0.5,l,1717377465.01,2024/06/03 01:17:45,2024/06/02 18:17:45 PDT,"0.9 km from Mt Rainier, WA",46.8472,-121.7667,0.2,0.1
62011466,0.2,l,1717342088.42,2024/06/02 15:28:08,2024/06/02 08:28:08 PDT,"1.1 km from Mt Rainier, WA",46.8448,-121.7685,-1.5,-0.9
62011061,0.3,l,1717212837.58,2024/06/01 03:33:57,2024/05/31 20:33:57 PDT,"18.4 km from Mt Rainier, WA",46.6895,-121.7962,5.1,3.2
